,FIRE_YEAR,DISCOVER_1,STAT_CAU_1,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,Coordinates
1728170,2014,59,Arson,2014/03/01 00:00:00.000,26.5,35.27388889,-84.395,POINT (191175.8043607208 3908704.348697925)
1458606,2011,306,Arson,2011/11/02 00:00:00.000,0.1,35.275,-84.39555556,POINT (191129.4730508649 3908829.376891737)
1440960,2005,313,Arson,2005/11/09 00:00:00.000,0.9,35.275,-84.41666670000001,POINT (189208.3757680259 3908895.40901704)
1281703,2009,358,Campfire,2009/12/24 00:00:00.000,10.0,35.280883,-84.250633,POINT (204338.3511501095 3909039.953494556)
1777618,2014,124,Miscellaneous,2014/05/04 00:00:00.000,0.3,35.27535,-84.451233,POINT (186064.1915775772 3909043.252551303)
1356235,2007,55,Powerline,2007/02/25 00:00:00.000,8.0,35.282367,-84.28615,POINT (201112.1791553668 3909311.214045213)
1699123,2013,297,Arson,2013/10/24 00:00:00.000,0.1,35.284928,-84.28364,POINT (201349.9746671258 3909587.81767701)
1281174,2009,99,Smoking,2009/04/09 00:00:00.000,0.1,35.283383,-84.36667,POINT (193789.6196574309 3909669.917075146)
1585522,2012,183,Smoking,2012/07/01 00:00:00.000,0.1,35.2835,-84.367517,POINT (193712.993611346 3909685.519141806)
1357461,2007,59,Debris Burning,2007/02/28 00:00:00.000,0.1,35.286733,-84.26659000000001,POINT (202907.8553467719 3909736.825888244)
1698977,2013,113,Campfire,2013/04/23 00:00:00.000,8.0,35.287517,-84.2505,POINT (204374.6013764002 3909775.673359611)
1585067,2012,121,Debris Burning,2012/04/30 00:00:00.000,1.04,35.28494,-84.347583,POINT (195532.150213578 3909783.843904973)
1282796,2010,280,Debris Burning,2010/10/07 00:00:00.000,0.3,35.28345,-84.40095,POINT (190670.7686243216 3909783.880479908)
1356436,2007,55,Debris Burning,2007/02/24 00:00:00.000,0.5,35.284,-84.51783,POINT (180037.8583059527 3910216.274097978)
1059527,2005,96,Arson,2005/04/06 00:00:00.000,2.0,35.2875,-84.42083333,POINT (188877.1053336408 3910295.585384944)
1586190,2012,343,Arson,2012/12/08 00:00:00.000,0.3,35.288416999999995,-84.424183,POINT (188575.8506429069 3910407.872336611)
1458615,2011,348,Arson,2011/12/15 00:00:00.000,0.25,35.28916667,-84.49027778,POINT (182565.0976778202 3910700.945670342)
1771667,2014,326,Arson,2014/11/22 00:00:00.000,5.0,35.2898,-84.506283,POINT (181111.330634248 3910822.657296099)
1723181,2014,59,Arson,2014/03/03 00:00:00.000,70.0,35.29638889,-84.36194444,POINT (194268.5704113524 3911098.521548007)
1282045,2010,92,Debris Burning,2010/04/02 00:00:00.000,1.0,35.310233000000004,-84.29225,POINT (200659.9313466288 3912421.73136847)
