,FIRE_YEAR,DISCOVER_1,STAT_CAU_1,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,Coordinates
1180412,2010,208,Lightning,2010/07/28 00:00:00.000,0.1,35.790833299999996,-81.9933333,POINT (410235.9827802731 3961204.304717168)
1177130,2010,107,Lightning,2010/04/20 00:00:00.000,363.0,35.745,-82.39,POINT (374316.5901102991 3956556.536558575)
1011380,1994,117,Lightning,,1.0,35.7283,-82.0383,POINT (406098.9020660772 3954310.500214433)
28920,2008,159,Lightning,2008/06/07 00:00:00.000,0.1,35.71861111,-82.07527778,POINT (402742.8288825511 3953271.873337893)
25914,2007,237,Lightning,2007/09/07 00:00:00.000,45.0,35.71916667,-82.01916667,POINT (407818.8064952726 3953279.330919672)
10326,2006,201,Lightning,2006/07/20 00:00:00.000,1.0,35.75166667,-82.06916667,POINT (403335.5523831224 3956932.221079498)
112858,1998,202,Lightning,1998/07/23 00:00:00.000,0.5,35.67333333,-82.18166667,POINT (393059.2610155025 3948360.481146887)
25042,2007,231,Lightning,2007/08/19 00:00:00.000,0.1,35.67444444,-82.20777778,POINT (390697.6111576288 3948512.461966468)
25043,2007,239,Lightning,2007/08/27 00:00:00.000,2.0,35.67444444,-82.20777778,POINT (390697.6111576288 3948512.461966468)
28922,2008,159,Lightning,2008/06/08 00:00:00.000,1.0,35.68555556,-82.09805556,POINT (400641.5249515214 3949628.310344416)
19758,2007,200,Lightning,2007/07/21 00:00:00.000,5.0,35.72611111,-82.11583333,POINT (399083.9575084607 3954144.69958664)
7721,2006,118,Lightning,2006/04/28 00:00:00.000,1.0,35.73638889,-82.28694444,POINT (383622.8333365884 3955474.207321274)
28933,2008,182,Lightning,2008/07/04 00:00:00.000,95.0,35.75138889,-82.09361111,POINT (401125.0770728811 3956925.785745406)
112846,1998,170,Lightning,1998/06/21 00:00:00.000,30.0,35.75333333,-82.15166667,POINT (395878.5046923911 3957201.55725382)
112845,1998,167,Lightning,1998/06/16 00:00:00.000,2.0,35.76166667,-82.14333333,POINT (396642.7287310623 3958117.049878951)
1011152,1994,118,Lightning,,4.0,35.6517,-82.5083,POINT (363460.1695613903 3946365.661057619)
1796024,2015,212,Lightning,,305.0,35.64972222,-82.21972222,POINT (389582.564112825 3945783.716998377)
1029691,1998,201,Lightning,,0.1,35.6383,-81.9283,POINT (415952.959608164 3944228.5814849)
1033038,1999,230,Lightning,,4.0,35.6167,-82.7667,POINT (339996.3536642144 3942873.092099249)
1020901,1996,76,Lightning,,0.1,35.6083,-82.125,POINT (398105.2692518653 3941087.104974006)
1617274,2012,182,Lightning,2012/07/01 00:00:00.000,20.0,35.61271667,-82.29700000000001,POINT (382532.3481582893 3941768.739213472)
1025623,1997,197,Lightning,,0.2,35.615,-81.9317,POINT (415620.6386104655 3941647.232634737)
1006095,1993,92,Lightning,,1.0,35.625,-81.955,POINT (413521.1805086511 3942776.593033131)
533591,2009,112,Lightning,,0.2,35.63078,-82.49067,POINT (365021.0669266629 3944020.859698141)
1000957,1992,109,Lightning,,3.0,35.5883,-82.3883,POINT (374224.7063269314 3939173.356941788)
534997,2009,225,Lightning,,0.2,35.621829999999996,-81.95284000000001,POINT (413713.3764690056 3942423.102932774)
534998,2009,225,Lightning,,0.1,35.6225,-81.95184,POINT (413804.6555748613 3942496.537589757)
1033249,1999,144,Lightning,,2.0,35.5717,-82.095,POINT (400777.4145747892 3936997.011496117)
1045370,2001,139,Lightning,,0.7,35.5833,-81.95,POINT (413929.3133151801 3938147.167217142)
1011151,1994,117,Lightning,,0.1,35.5617,-82.3283,POINT (379621.0282389751 3936147.965895724)
1006110,1993,213,Lightning,,1.0,35.5683,-82.1417,POINT (396541.179300417 3936667.961487019)
1033246,1999,113,Lightning,,74.0,35.575,-82.1383,POINT (396857.8839641258 3937407.517779088)
1006096,1993,93,Lightning,,1.0,35.575,-82.255,POINT (386283.0941621087 3937536.025759645)
25039,2007,204,Lightning,2007/07/23 00:00:00.000,1.0,35.59916667,-82.29,POINT (383146.6602083949 3940257.484902428)
28989,2008,204,Lightning,2008/07/23 00:00:00.000,10.0,35.61138889,-82.27055556,POINT (384925.6145011846 3941590.211304951)
1618673,2012,210,Lightning,2012/07/28 00:00:00.000,0.1,35.53075,-82.10685,POINT (399652.5708552079 3932467.124919719)
1006107,1993,191,Lightning,,1.0,35.555,-82.145,POINT (396224.9792718504 3935196.280385152)
1006362,1993,179,Lightning,,5.0,35.7217,-81.585,POINT (447090.421770838 3953239.337558453)
1006361,1993,178,Lightning,,0.1,35.7217,-81.5883,POINT (446791.9541243913 3953241.121864545)
1617309,2012,75,Lightning,2012/03/15 00:00:00.000,1.0,35.68333333,-81.56666667,POINT (448724.0130699041 3948974.327182132)
1428816,2010,190,Lightning,2010/07/12 00:00:00.000,10.0,35.68333333,-81.6,POINT (445707.7443023577 3948992.240458438)
1033498,1999,160,Lightning,,3.0,35.665,-81.6117,POINT (444636.3721150617 3946965.40955048)
358813,2008,165,Lightning,2008/07/10 00:00:00.000,16.0,35.57387,-83.94784,POINT (232857.8470089055 3940686.052756017)
597662,2008,176,Lightning,,614.0,35.58818,-84.03395,POINT (225100.9255365204 3942511.121112937)
358796,2007,151,Lightning,2007/06/02 00:00:00.000,13.0,35.62842,-83.95089399999999,POINT (232762.6345113107 3946746.946743939)
1219714,2010,229,Lightning,2010/09/23 00:00:00.000,291.0,35.4914,-83.9842,POINT (229284.5963841112 3931634.929747827)
1458587,2011,158,Lightning,2011/06/18 00:00:00.000,749.0,35.49277778,-84.02055556,POINT (225990.2431779688 3931888.26263865)
1282653,2010,234,Lightning,2010/08/24 00:00:00.000,225.0,35.500483,-83.984183,POINT (229316.645009326 3932642.684464117)
1517691,2011,156,Lightning,2011/06/08 00:00:00.000,185.0,35.507833000000005,-84.00399999999999,POINT (227543.4404039852 3933512.821139204)
1282655,2010,244,Lightning,2010/09/07 00:00:00.000,215.0,35.5695,-84.050333,POINT (223551.782203362 3940484.350878875)
58647,1993,69,Lightning,1993/03/10 00:00:00.000,20.0,35.50833333,-84.03833333,POINT (224430.2389701732 3933663.822496824)
358799,2007,217,Lightning,2007/08/18 00:00:00.000,185.0,35.513237,-83.98190799999999,POINT (229565.8764209608 3934051.554905258)
358821,2009,103,Lightning,2009/04/16 00:00:00.000,26.5,35.5344,-83.9883,POINT (229057.2282322102 3936417.265232361)
246793,1999,231,Lightning,,523.0,35.543185,-83.983417,POINT (229529.6189143452 3937378.581453036)
358814,2008,185,Lightning,2008/07/15 00:00:00.000,35.0,35.55555,-83.97053000000001,POINT (230739.6627712202 3938715.209416904)
52058,1992,103,Lightning,1992/04/12 00:00:00.000,3.0,35.48,-84.045,POINT (223728.3008597801 3930538.717249462)
