# ppt,,,,,,
,MN101,MN102    ,MN101,MN102    ,MN101,MN102    
TIMESTEP,MEAN(mm/d),MEAN(mm/d),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d)
1979-07-10T00:00:00Z,0,0,0,0,0,0
1979-07-11T00:00:00Z,0,0,0,0,0,0
1979-07-12T00:00:00Z,0,0,0,0,0,0
1979-07-13T00:00:00Z,0,0,0,0,0,0
1979-07-14T00:00:00Z,0,0,0,0,0,0
1979-07-15T00:00:00Z,0,0,0,0,0,0
1979-07-16T00:00:00Z,0,0,0,0,0,0
1979-07-17T00:00:00Z,0.007666139,0.023364017,4.38E-04,0.001630555,0.020939313,0.040380135
1979-07-18T00:00:00Z,0.031024346,0.07064273,0.003647606,0.008057185,0.060395416,0.08976182
1979-07-19T00:00:00Z,0.074552916,0.16041361,0.105142966,0.22305983,0.32425755,0.4722921
1979-07-20T00:00:00Z,4.206769,5.6405067,11.015413,16.041811,3.3189476,4.0052233
1979-07-21T00:00:00Z,9.783965,11.915458,16.350145,18.140863,4.0435314,4.259209
1979-07-22T00:00:00Z,3.1342163,2.8571458,1.2861468,1.1293895,1.1340841,1.0627273
1979-07-23T00:00:00Z,0,0,0,0,0,0
1979-07-24T00:00:00Z,0,0,0,0,0,0
1979-07-25T00:00:00Z,0,0,0,0,0,0
1979-07-26T00:00:00Z,0,0,0,0,0,0
1979-07-27T00:00:00Z,0,0,0,0,0,0
1979-07-28T00:00:00Z,0,0,0,0,0,0
1979-07-29T00:00:00Z,0,0,0,0,0,0
1979-07-30T00:00:00Z,0,0,0,0,0,0
1979-07-31T00:00:00Z,0,0,0,0,0,0
1979-08-01T00:00:00Z,0,0,0,0,0,0
1979-08-02T00:00:00Z,0,0,0,0,0,0
1979-08-03T00:00:00Z,0,0,0,0,0,0
1979-08-04T00:00:00Z,0,0,0,0,0,0
1979-08-05T00:00:00Z,0,0,0,0,0,0
1979-08-06T00:00:00Z,0.15432261,0.13270588,0.015620308,0.013839209,0.12498123,0.11764017
1979-08-07T00:00:00Z,0.41087326,0.3405919,0.047789358,0.07187251,0.21860777,0.2680905
1979-08-08T00:00:00Z,0.008454375,0.015114146,0.001428369,0.002565141,0.037793767,0.050647218
1979-08-09T00:00:00Z,0,0,0,0,0,0
1979-08-10T00:00:00Z,0,0,0,0,0,0
1979-08-11T00:00:00Z,0.00100077,0.005886867,3.14E-05,1.51E-04,0.005607141,0.012305047
1979-08-12T00:00:00Z,0.16651157,0.24088824,0.058952175,0.109501846,0.24280068,0.33091062
1979-08-13T00:00:00Z,0.29794148,0.28206533,0.045013506,0.06431755,0.21216387,0.25360906
1979-08-14T00:00:00Z,0,0,0,0,0,0
1979-08-15T00:00:00Z,0,0,0,0,0,0
1979-08-16T00:00:00Z,0.052764818,0.1292905,0.015791701,0.042810887,0.12566504,0.20690791
1979-08-17T00:00:00Z,0.14880764,0.34457427,0.083123796,0.177493,0.28831196,0.4212992
1979-08-18T00:00:00Z,0,0,0,0,0,0
1979-08-19T00:00:00Z,0,0,0,0,0,0
1979-08-20T00:00:00Z,0,0,0,0,0,0
1979-08-21T00:00:00Z,0,0,0,0,0,0
1979-08-22T00:00:00Z,0,0,0,0,0,0
1979-08-23T00:00:00Z,0,0,0,0,0,0
1979-08-24T00:00:00Z,0,0,0,0,0,0
1979-08-25T00:00:00Z,0,0,0,0,0,0
1979-08-26T00:00:00Z,0,0,0,0,0,0
1979-08-27T00:00:00Z,0,0,0,0,0,0
1979-08-28T00:00:00Z,1.7835023,1.9265734,6.94448,9.616231,2.6352382,3.1010048
1979-08-29T00:00:00Z,4.226426,3.119434,13.751612,8.522083,3.7083166,2.9192607
1979-08-30T00:00:00Z,0.3395022,0.21082853,0.108377345,0.075662345,0.32920715,0.2750679
1979-08-31T00:00:00Z,0,0,0,0,0,0
1979-09-01T00:00:00Z,0,0,0,0,0,0
1979-09-02T00:00:00Z,0,0,0,0,0,0
1979-09-03T00:00:00Z,0,0,0,0,0,0
1979-09-04T00:00:00Z,0,0,0,0,0,0
1979-09-05T00:00:00Z,0,0,0,0,0,0
1979-09-06T00:00:00Z,0,0,0,0,0,0
1979-09-07T00:00:00Z,0,0,0,0,0,0
1979-09-08T00:00:00Z,0,0,0,0,0,0
1979-09-09T00:00:00Z,0,0,0,0,0,0
1979-09-10T00:00:00Z,0,0,0,0,0,0
1979-09-11T00:00:00Z,0,0,0,0,0,0
1979-09-12T00:00:00Z,0,0,0,0,0,0
1979-09-13T00:00:00Z,0,0,0,0,0,0
1979-09-14T00:00:00Z,0,0,0,0,0,0
1979-09-15T00:00:00Z,0,0,0,0,0,0
1979-09-16T00:00:00Z,0,0,0,0,0,0
1979-09-17T00:00:00Z,0,0,0,0,0,0
1979-09-18T00:00:00Z,0,0,0,0,0,0
1979-09-19T00:00:00Z,0,0,0,0,0,0
1979-09-20T00:00:00Z,0,0,0,0,0,0
1979-09-21T00:00:00Z,0,0,0,0,0,0
1979-09-22T00:00:00Z,0,0,0,0,0,0
1979-09-23T00:00:00Z,0,0,0,0,0,0
1979-09-24T00:00:00Z,0.19729875,0.15602547,0.047667656,0.023099564,0.21832924,0.1519854
1979-09-25T00:00:00Z,0.53126234,0.30096105,0.40634817,0.253868,0.63745445,0.5038532
1979-09-26T00:00:00Z,0,0,0,0,0,0
1979-09-27T00:00:00Z,0,0,0,0,0,0
1979-09-28T00:00:00Z,0,0,0,0,0,0
1979-09-29T00:00:00Z,0,0,0,0,0,0
1979-09-30T00:00:00Z,0,0,0,0,0,0
1979-10-01T00:00:00Z,0,0,0,0,0,0
1979-10-02T00:00:00Z,0,0,0,0,0,0
1979-10-03T00:00:00Z,0,0,0,0,0,0
1979-10-04T00:00:00Z,0,0,0,0,0,0
1979-10-05T00:00:00Z,0,0,0,0,0,0
1979-10-06T00:00:00Z,6.77E-04,0.001623355,2.15E-05,4.91E-05,0.004637544,0.007009735
1979-10-07T00:00:00Z,0.99867594,1.2691007,1.3796895,2.0743265,1.1746018,1.4402523
